what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1539784346458
started,bundle,org.eclipse.team.core,3.5.0.I20090527-0620,"org.eclipse.team.core",1539784346458
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1539784346458
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1539784346458
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1539784346458
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1539784346458
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1539784346458
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1539784346458
started,bundle,org.eclipse.ui.navigator,3.4.0.I20090525-2000,"org.eclipse.ui.navigator",1539784346458
started,bundle,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.resources",1539784346458
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1539784346458
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1539784346458
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1539784346458
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1539784346468
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1539784346468
os,sysinfo,,,"win32",1539784346468
arch,sysinfo,,,"x86",1539784346468
ws,sysinfo,,,"win32",1539784346468
locale,sysinfo,,,"en_US",1539784346468
processors,sysinfo,,,"4",1539784346468
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1539784346468
java.runtime.version,sysinfo,,,"1.6.0_11-b03",1539784346468
java.specification.name,sysinfo,,,"Java Platform API Specification",1539784346468
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1539784346468
java.specification.version,sysinfo,,,"1.6",1539784346468
